/*********************************************
 * OPL 12.7.1.0 Data
 * Author: mafarian
 * Creation Date: 13/06/2019 at 10:22:52
 *********************************************/

// ALL FEASABLE CUTTING PATTERNS OF THE PROBLEM BELOW:
L = 200;
nitems = 7;
len =  [101 71 53 44 42 28 7];
demands =  [5 6 15 4 10 9 12];

patterns = {
 <0 [1 1 0 0 0 1 0]>,
 <1 [1 1 0 0 0 0 4]>,
 <2 [1 1 0 0 0 0 3]>,
 <3 [1 1 0 0 0 0 2]>,
 <4 [1 1 0 0 0 0 1]>,
 <5 [1 1 0 0 0 0 0]>,
 <6 [1 0 1 1 0 0 0]>,
 <7 [1 0 1 0 1 0 0]>,
 <8 [1 0 1 0 0 1 2]>,
 <9 [1 0 1 0 0 1 1]>,
 <10 [1 0 1 0 0 1 0]>,
 <11 [1 0 1 0 0 0 6]>,
 <12 [1 0 1 0 0 0 5]>,
 <13 [1 0 1 0 0 0 4]>,
 <14 [1 0 1 0 0 0 3]>,
 <15 [1 0 1 0 0 0 2]>,
 <16 [1 0 1 0 0 0 1]>,
 <17 [1 0 1 0 0 0 0]>,
 <18 [1 0 0 2 0 0 1]>,
 <19 [1 0 0 2 0 0 0]>,
 <20 [1 0 0 1 1 0 1]>,
 <21 [1 0 0 1 1 0 0]>,
 <22 [1 0 0 1 0 1 3]>,
 <23 [1 0 0 1 0 1 2]>,
 <24 [1 0 0 1 0 1 1]>,
 <25 [1 0 0 1 0 1 0]>,
 <26 [1 0 0 1 0 0 7]>,
 <27 [1 0 0 1 0 0 6]>,
 <28 [1 0 0 1 0 0 5]>,
 <29 [1 0 0 1 0 0 4]>,
 <30 [1 0 0 1 0 0 3]>,
 <31 [1 0 0 1 0 0 2]>,
 <32 [1 0 0 1 0 0 1]>,
 <33 [1 0 0 1 0 0 0]>,
 <34 [1 0 0 0 2 0 2]>,
 <35 [1 0 0 0 2 0 1]>,
 <36 [1 0 0 0 2 0 0]>,
 <37 [1 0 0 0 1 2 0]>,
 <38 [1 0 0 0 1 1 4]>,
 <39 [1 0 0 0 1 1 3]>,
 <40 [1 0 0 0 1 1 2]>,
 <41 [1 0 0 0 1 1 1]>,
 <42 [1 0 0 0 1 1 0]>,
 <43 [1 0 0 0 1 0 8]>,
 <44 [1 0 0 0 1 0 7]>,
 <45 [1 0 0 0 1 0 6]>,
 <46 [1 0 0 0 1 0 5]>,
 <47 [1 0 0 0 1 0 4]>,
 <48 [1 0 0 0 1 0 3]>,
 <49 [1 0 0 0 1 0 2]>,
 <50 [1 0 0 0 1 0 1]>,
 <51 [1 0 0 0 1 0 0]>,
 <52 [1 0 0 0 0 3 2]>,
 <53 [1 0 0 0 0 3 1]>,
 <54 [1 0 0 0 0 3 0]>,
 <55 [1 0 0 0 0 2 6]>,
 <56 [1 0 0 0 0 2 5]>,
 <57 [1 0 0 0 0 2 4]>,
 <58 [1 0 0 0 0 2 3]>,
 <59 [1 0 0 0 0 2 2]>,
 <60 [1 0 0 0 0 2 1]>,
 <61 [1 0 0 0 0 2 0]>,
 <62 [1 0 0 0 0 1 10]>,
 <63 [1 0 0 0 0 1 9]>,
 <64 [1 0 0 0 0 1 8]>,
 <65 [1 0 0 0 0 1 7]>,
 <66 [1 0 0 0 0 1 6]>,
 <67 [1 0 0 0 0 1 5]>,
 <68 [1 0 0 0 0 1 4]>,
 <69 [1 0 0 0 0 1 3]>,
 <70 [1 0 0 0 0 1 2]>,
 <71 [1 0 0 0 0 1 1]>,
 <72 [1 0 0 0 0 1 0]>,
 <73 [1 0 0 0 0 0 14]>,
 <74 [1 0 0 0 0 0 13]>,
 <75 [1 0 0 0 0 0 12]>,
 <76 [1 0 0 0 0 0 11]>,
 <77 [1 0 0 0 0 0 10]>,
 <78 [1 0 0 0 0 0 9]>,
 <79 [1 0 0 0 0 0 8]>,
 <80 [1 0 0 0 0 0 7]>,
 <81 [1 0 0 0 0 0 6]>,
 <82 [1 0 0 0 0 0 5]>,
 <83 [1 0 0 0 0 0 4]>,
 <84 [1 0 0 0 0 0 3]>,
 <85 [1 0 0 0 0 0 2]>,
 <86 [1 0 0 0 0 0 1]>,
 <87 [1 0 0 0 0 0 0]>,
 <88 [0 2 1 0 0 0 0]>,
 <89 [0 2 0 1 0 0 2]>,
 <90 [0 2 0 1 0 0 1]>,
 <91 [0 2 0 1 0 0 0]>,
 <92 [0 2 0 0 1 0 2]>,
 <93 [0 2 0 0 1 0 1]>,
 <94 [0 2 0 0 1 0 0]>,
 <95 [0 2 0 0 0 2 0]>,
 <96 [0 2 0 0 0 1 4]>,
 <97 [0 2 0 0 0 1 3]>,
 <98 [0 2 0 0 0 1 2]>,
 <99 [0 2 0 0 0 1 1]>,
 <100 [0 2 0 0 0 1 0]>,
 <101 [0 2 0 0 0 0 8]>,
 <102 [0 2 0 0 0 0 7]>,
 <103 [0 2 0 0 0 0 6]>,
 <104 [0 2 0 0 0 0 5]>,
 <105 [0 2 0 0 0 0 4]>,
 <106 [0 2 0 0 0 0 3]>,
 <107 [0 2 0 0 0 0 2]>,
 <108 [0 2 0 0 0 0 1]>,
 <109 [0 2 0 0 0 0 0]>,
 <110 [0 1 2 0 0 0 3]>,
 <111 [0 1 2 0 0 0 2]>,
 <112 [0 1 2 0 0 0 1]>,
 <113 [0 1 2 0 0 0 0]>,
 <114 [0 1 1 1 0 1 0]>,
 <115 [0 1 1 1 0 0 4]>,
 <116 [0 1 1 1 0 0 3]>,
 <117 [0 1 1 1 0 0 2]>,
 <118 [0 1 1 1 0 0 1]>,
 <119 [0 1 1 1 0 0 0]>,
 <120 [0 1 1 0 1 1 0]>,
 <121 [0 1 1 0 1 0 4]>,
 <122 [0 1 1 0 1 0 3]>,
 <123 [0 1 1 0 1 0 2]>,
 <124 [0 1 1 0 1 0 1]>,
 <125 [0 1 1 0 1 0 0]>,
